Northings,Eastings,Managed,Selective_cut,Shoots_dug,Clear_cut,Mix_bamboo,Mix_trees,Expansion,Other_bamboo,Forest,Conifer,Broadleaf,MixedForest,VegType,mean_temp,annual_rainfall,elevation,Tree_DBH,Culmheight_m,Basal_areaM2ha,ABG_biomassTha,CulmTha,LitterfallThayr,Dead_materialTha,ABG_C_stock,Cluster,SOC_Tha,SOC_10cm_px,pH,Soil_water_vv,N_px,BG_biomassTha,BGbiomassTCha,NPPtotal_Tha_yr,NPP_ABG_Tha_yr,NPP_BG_Tha_yr
34.98333333,135.8,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,83,6.3425,17.1701895,121.6,218,191.865378,5.4185,194.0825,97.80933333,1,115.025,4.6075,5.538,16.032,0.3645,67.6697801,35.96493813,12.86,9.112,8.091
34.98333333,135.8,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,83,6.6745,12.2838465,48.7,67.1,62.6425,5.6345,62.362,30.10553333,1,82.04,4.8825,5.359,11.3406,0.335,54.49912258,32.95232944,12.1485,6.809,7.4
35.01666667,135.8166667,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,286,5.6595,17.3951895,77.7,136.5,130.5903337,5.6115,104.613,61.243,1,103.185,3.6925,5.2475,16.3826,0.366,57.21206478,28.34610978,16.4955,8.395,7.8225
35.11666667,137.2166667,1,1,1,1,1,2,1,1,1,1,1,1,1,14.8,1451.4,110,7.4645,10.305,14.05,30.16,29.5,7.19,20.481,15.71,1,73.185,3.7795,4.55,0.4,0.351,38.8,18.01,16.052,6.311,7.4945
35.18333333,137.1166667,1,1,1,1,1,2,1,1,1,1,1,1,1,14.8,1451.4,200,5.1065,12.9288465,19.23,44.07,37.6,3.03,18.524,21.82,1,99.385,3.8865,4.69,0.48,0.302,57.8,28.76,14.82,5.7995,7.6775
35.11666667,137.25,1,1,1,1,1,2,1,1,1,1,1,1,1,14.8,1451.4,160,6.3495,14.1101895,47.19,107.36,93,5.26,92.794,53.58,1,87.665,4.118,4.79,0.31,0.3115,68.58,33.85,14.8025,8.5845,7.504
35.68333333,136.4666667,1,1,1,1,2,2,1,1,1,1,1,1,1,11.3,3244,330,7.2205,12.0551895,11.19,23.31,140.178405,8.742,91.1305,92.3,3,109.965,3.8465,5.271,16.4004,0.306,35.17,14.62412563,14.668,6.439,7.684
35.51666667,136.25,2,2,1,1,1,1,1,1,1,1,1,1,1,15,1600,145,6.117,12,18.804,51.6,40.6,5.9295,49.5945,27.59094833,1,69.895,4.7655,5.37,17.596,0.32,27.8,20.38021413,13.09,6.0005,5.1385
35.51666667,136.25,2,2,1,1,1,1,1,1,1,1,1,1,1,15,1600,145,6.6965,13.2,23.446,63.4,49.2,6.5835,29.642,32.694679,1,77,4.1545,5.1335,10.392,0.338,38.6,20.58416909,14.2225,6.042,4.7295
35.51666667,136.25,2,2,1,1,1,1,1,1,1,1,1,1,1,15,1600,145,6.578,13.3,59.5255,106.6,87.6,6.242,100.4375,54.88800667,1,77.04,5.5755,5.423,13.2546,0.305,35.1,23.47956816,12.028,8.28,5.035
